TNG_ID,REDSHIFT,SERSIC_IDX,HALFMASSRAD,SERSIC_LUM,AXIS_RATIO,MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HMR_STAR,SPS_LUM,MLR
415765,0.1,7.473527391,4.31067166,11213875081,0.9217183458,4.04643,4.66413,205.863,214.598,0,-1.215858908,-3.138113265,-1.817339681,-2.095824659,4.744668013,7.156785212,7.699247194,7.837944864,3.0884,13710316153,4.356922577
415765,0.1,5.195215839,5.779505821,11385303306,0.8088977377,4.04643,4.66413,205.863,214.598,0,-1.215858908,-3.138113265,-1.817339681,-2.095824659,4.744668013,7.156785212,7.699247194,7.837944864,3.0884,13710316153,4.356922577
415765,0.1,10.44860096,3.961073556,13757631461,0.6512301077,4.04643,4.66413,205.863,214.598,0,-1.215858908,-3.138113265,-1.817339681,-2.095824659,4.744668013,7.156785212,7.699247194,7.837944864,3.0884,13710316153,4.356922577
366082,0.1,3.790151929,3.796620261,16554207829,0.6845855946,5.21469,14.0832,217.964,237.289,0.283463,-0.04600397,-3.031794384,-1.771288701,-2.061769959,4.939903503,7.045855586,7.442802487,7.615788234,3.8341,19176080792,4.014629488
366082,0.1,3.110150104,4.251085495,15386279169,0.8640343973,5.21469,14.0832,217.964,237.289,0.283463,-0.04600397,-3.031794384,-1.771288701,-2.061769959,4.939903503,7.045855586,7.442802487,7.615788234,3.8341,19176080792,4.014629488
366082,0.1,3.429445558,3.915618564,15589428569,0.827182273,5.21469,14.0832,217.964,237.289,0.283463,-0.04600397,-3.031794384,-1.771288701,-2.061769959,4.939903503,7.045855586,7.442802487,7.615788234,3.8341,19176080792,4.014629488
383036,0.1,4.255466947,10.03572964,10380123938,0.4646596196,3.74882,12.8675,281.741,298.375,0.0710005,-0.9050605529,-3.016419696,-1.684184194,-1.843047175,4.983069465,6.309012886,7.081420801,7.17028236,5.4075,14519291937,3.813046852
383036,0.1,8.107521385,8.230539469,11628802107,0.4525641448,3.74882,12.8675,281.741,298.375,0.0710005,-0.9050605529,-3.016419696,-1.684184194,-1.843047175,4.983069465,6.309012886,7.081420801,7.17028236,5.4075,14519291937,3.813046852
383036,0.1,3.585550233,7.447446248,10351374280,0.7000619874,3.74882,12.8675,281.741,298.375,0.0710005,-0.9050605529,-3.016419696,-1.684184194,-1.843047175,4.983069465,6.309012886,7.081420801,7.17028236,5.4075,14519291937,3.813046852
405799,0.1,9.115513965,5.281259602,9898946461,0.569597128,3.4684,3.36652,241.51,248.369,0,-2.273432581,-3.308039735,-1.676567059,-1.997118574,4.880149349,6.918284878,7.483068777,7.626676403,3.3538,12714524103,4.02701557
405799,0.1,7.010766067,4.240688969,9435804556,0.9055924279,3.4684,3.36652,241.51,248.369,0,-2.273432581,-3.308039735,-1.676567059,-1.997118574,4.880149349,6.918284878,7.483068777,7.626676403,3.3538,12714524103,4.02701557
405799,0.1,10.35774005,4.981712359,9460820532,0.651560022,3.4684,3.36652,241.51,248.369,0,-2.273432581,-3.308039735,-1.676567059,-1.997118574,4.880149349,6.918284878,7.483068777,7.626676403,3.3538,12714524103,4.02701557
413775,0.1,6.234705998,7.437662373,17481605677,0.9666467676,4.95823,7.1715,193.307,205.458,0.0627409,0.3110222186,-2.954175024,-1.716268321,-1.904555057,4.459201026,6.442928593,7.048654647,7.165029619,5.8945,18914445086,3.869845224
413775,0.1,3.054083262,5.563593473,16415663654,0.4631738424,4.95823,7.1715,193.307,205.458,0.0627409,0.3110222186,-2.954175024,-1.716268321,-1.904555057,4.459201026,6.442928593,7.048654647,7.165029619,5.8945,18914445086,3.869845224
413775,0.1,2.382519442,6.539607043,14379824617,0.6299816256,4.95823,7.1715,193.307,205.458,0.0627409,0.3110222186,-2.954175024,-1.716268321,-1.904555057,4.459201026,6.442928593,7.048654647,7.165029619,5.8945,18914445086,3.869845224
295549,0.1,2.658514108,10.21431579,47318860596,0.5724528181,19.9235,43.7895,793.205,856.995,0.0456374,-0.8764819744,-2.87062105,-1.675223483,-1.829264841,4.365329966,6.222198963,6.94931167,7.038739305,10.6371,68733433076,4.27969494
295549,0.1,2.56169034,11.69730073,47210764468,0.647227495,19.9235,43.7895,793.205,856.995,0.0456374,-0.8764819744,-2.87062105,-1.675223483,-1.829264841,4.365329966,6.222198963,6.94931167,7.038739305,10.6371,68733433076,4.27969494
295549,0.1,2.552591732,11.67066199,47661371799,0.701223542,19.9235,43.7895,793.205,856.995,0.0456374,-0.8764819744,-2.87062105,-1.675223483,-1.829264841,4.365329966,6.222198963,6.94931167,7.038739305,10.6371,68733433076,4.27969494
304012,0.1,3.527781606,9.806343567,38744450096,0.5574038129,15.1749,39.703,712.453,767.399,0.0194376,-0.7244873988,-3.050049176,-1.692808118,-1.873213279,4.272579565,6.203839595,6.921969067,7.017539826,10.1406,51308892536,4.366136267
304012,0.1,3.680843657,9.938566886,38630195297,0.6648496466,15.1749,39.703,712.453,767.399,0.0194376,-0.7244873988,-3.050049176,-1.692808118,-1.873213279,4.272579565,6.203839595,6.921969067,7.017539826,10.1406,51308892536,4.366136267
304012,0.1,5.005063149,11.31186799,41265759816,0.8614227983,15.1749,39.703,712.453,767.399,0.0194376,-0.7244873988,-3.050049176,-1.692808118,-1.873213279,4.272579565,6.203839595,6.921969067,7.017539826,10.1406,51308892536,4.366136267
324610,0.1,3.773720381,7.813061297,32296143172,0.5063871661,9.41182,23.7552,338.28,371.485,0.580384,0.301688018,-2.944182627,-1.787379738,-2.007260055,4.881569392,6.538471137,6.972179083,7.134529581,6.8089,38992346896,3.563761598
324610,0.1,3.456947727,6.195793591,32473179321,0.7204936473,9.41182,23.7552,338.28,371.485,0.580384,0.301688018,-2.944182627,-1.787379738,-2.007260055,4.881569392,6.538471137,6.972179083,7.134529581,6.8089,38992346896,3.563761598
324610,0.1,3.261792318,6.541442153,30222224630,0.4776447717,9.41182,23.7552,338.28,371.485,0.580384,0.301688018,-2.944182627,-1.787379738,-2.007260055,4.881569392,6.538471137,6.972179083,7.134529581,6.8089,38992346896,3.563761598
176629,0.1,2.355153874,24.76248591,133680008402,0.5688950834,52.3166,431.556,3021.34,3505.48,0.188272,-0.4313253531,-3.056954311,-1.588931749,-1.688792866,4.59257818,5.604625317,6.591884007,6.653511916,25.1209,178334445458,4.331139966
176629,0.1,2.668149648,25.0979605,136978278372,0.621943829,52.3166,431.556,3021.34,3505.48,0.188272,-0.4313253531,-3.056954311,-1.588931749,-1.688792866,4.59257818,5.604625317,6.591884007,6.653511916,25.1209,178334445458,4.331139966
243401,0.1,3.066845628,12.79974162,60880720311,0.5566041811,24.1287,132.986,1294.81,1452.03,0.191542,-0.6429882761,-3.147539973,-1.737458078,-1.903549282,4.46395625,6.180883556,6.936967243,7.026549694,12.0422,83205337226,4.28109725
243401,0.1,4.445318881,12.08664684,66152094620,0.6298855801,24.1287,132.986,1294.81,1452.03,0.191542,-0.6429882761,-3.147539973,-1.737458078,-1.903549282,4.46395625,6.180883556,6.936967243,7.026549694,12.0422,83205337226,4.28109725
243401,0.1,3.852759662,12.51585267,63891384593,0.4974120771,24.1287,132.986,1294.81,1452.03,0.191542,-0.6429882761,-3.147539973,-1.737458078,-1.903549282,4.46395625,6.180883556,6.936967243,7.026549694,12.0422,83205337226,4.28109725
408430,0.1,3.937324939,5.674869843,17705500900,0.5413884366,5.80517,7.36139,192.413,205.601,0.20637,0.8841044902,-2.968603491,-1.679188381,-1.947093305,4.420642917,6.631203093,7.095188936,7.251378283,5.0991,24794262692,3.456626981
408430,0.1,6.094266589,6.264325112,20041112948,0.6962555304,5.80517,7.36139,192.413,205.601,0.20637,0.8841044902,-2.968603491,-1.679188381,-1.947093305,4.420642917,6.631203093,7.095188936,7.251378283,5.0991,24794262692,3.456626981
